file_path,Unnamed: 0,year,pond,date,Lcapito,score0,time_stamp0,score1,time_stamp1,score2,time_stamp2
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/10a/20150510_225300.wav,2640,2015,10a,2015-05-10 22:53:00,0.0,53.66973770386124,230.0,46.046107538486446,177.5,46.34474192224294,230.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/10a/20150320_231800.wav,2643,2015,10a,2015-03-20 23:18:00,0.0,40.91550612589341,263.0,39.31412544199292,72.0,37.775431818597966,247.5
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/10a/20150312_221400.wav,2645,2015,10a,2015-03-12 22:14:00,0.0,49.34249338230693,193.5,33.55915380880087,245.0,44.27467009456979,107.5
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/10a/20150315_231600.wav,2646,2015,10a,2015-03-15 23:16:00,0.0,43.88108829176702,247.0,34.06756721756193,158.0,38.15386122450622,145.5
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/10a/20150409_193200.wav,2647,2015,10a,2015-04-09 19:32:00,0.0,44.50628062383931,274.0,42.289291690031014,91.5,46.99673073468159,274.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/10a/20150218_225700.wav,2648,2015,10a,2015-02-18 22:57:00,0.0,48.44389310484411,154.5,45.510776465298584,154.5,47.33529869755004,154.5
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/10a/20150219_195800.wav,2650,2015,10a,2015-02-19 19:58:00,0.0,43.31010092950871,238.5,45.97642315736006,281.0,44.79713570896027,238.5
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/10a/20150418_193800.wav,2651,2015,10a,2015-04-18 19:38:00,0.0,43.10772507578635,296.0,48.694986825168655,198.5,48.530387525422746,198.5
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/10a/20150204_194600.wav,2652,2015,10a,2015-02-04 19:46:00,0.0,62.20336722621065,70.0,63.82012158148157,12.0,71.0996402324758,257.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/10a/20150411_223400.wav,2653,2015,10a,2015-04-11 22:34:00,0.0,54.39359238668916,12.0,44.66243564520035,12.0,48.302632842050436,120.5
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/10a/20150412_203400.wav,2654,2015,10a,2015-04-12 20:34:00,0.0,45.687167548595845,270.5,41.96050854327475,91.5,41.32962977877794,270.5
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/10a/20150218_205700.wav,2655,2015,10a,2015-02-18 20:57:00,0.0,49.12938058198848,86.5,52.59982758182019,291.0,41.50390997006182,279.5
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/10a/20150220_005800.wav,2656,2015,10a,2015-02-20 00:58:00,0.0,39.37063193483586,82.0,43.699540231322196,82.0,37.258542037370134,82.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/10a/20150219_225800.wav,2657,2015,10a,2015-02-19 22:58:00,0.0,42.05293361820964,98.5,37.16264666970529,253.5,34.439828331111904,27.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/10a/20150218_005700.wav,2658,2015,10a,2015-02-18 00:57:00,0.0,38.708374697014825,167.5,54.14321039962632,167.5,46.97202932849716,167.5
