,score,year,logger,time_stamp
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/2a/4-14-14/20140416_233700.wav,70.46491376199485,2014,2a,169.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/2a/6-12-14/20140614_201300.wav,70.4595185340771,2014,2a,168.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/2a/4-7-14/20140408_203200.wav,70.15159132994336,2014,2a,170.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/3a/5-15-14/20140515_195700.wav,70.14383144982354,2014,3a,132.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/2a/5-2-14/20140503_234800.wav,70.06533606166431,2014,2a,5.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/3a/6-12-14/20140613_221300.wav,70.01089522525828,2014,3a,23.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/1a/4-21-14/20140424_234200.wav,69.98859795442287,2014,1a,49.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/3a/3-24-14/20140327_212400.wav,69.86930975286742,2014,3a,78.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/3a/5-8-14/20140511_005300.wav,69.62060829980362,2014,3a,169.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/3a/5-8-14/20140508_215200.wav,69.47854444012074,2014,3a,96.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/3a/6-12-14/20140615_221300.wav,68.74787208201103,2014,3a,69.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/1a/3-10-14/20140313_191500.wav,68.55031889609022,2014,1a,232.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/1a/6-12-14/20140612_211200.wav,68.48230610104709,2014,1a,266.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/2a/5-15-14/20140517_005700.wav,68.34784550637583,2014,2a,7.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/3a/6-19-14/20140622_201500.wav,68.30374284224072,2014,3a,62.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/3a/4-21-14/20140421_234000.wav,68.26832193967063,2014,3a,121.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/1a/5-15-14/20140515_225700.wav,68.19630593890555,2014,1a,140.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/3a/4-21-14/20140424_214200.wav,68.11308134856684,2014,3a,264.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/3a/4-21-14/20140421_194000.wav,67.78649676655701,2014,3a,209.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/3a/4-7-14/20140411_003300.wav,67.60258294452645,2014,3a,39.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/2a/4-7-14/20140411_003300.wav,67.37450756173898,2014,2a,263.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/2a/7-17-14/20140717_201200.wav,67.3247936440716,2014,2a,68.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/1a/6-12-14/20140613_211300.wav,66.58242542606348,2014,1a,205.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/2a/5-2-14/20140505_004900.wav,66.18853979047162,2014,2a,63.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/3a/5-15-14/20140518_195900.wav,66.14617222810939,2014,3a,114.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/3a/4-21-14/20140424_004200.wav,66.04898783577808,2014,3a,85.5
