,score,year,logger,time_stamp
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/1a/2-23-15/20150223_210100.wav,77.8451808501663,2015,1a,177.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/4a/2-16-15/20150218_215700.wav,77.36809146880483,2015,4a,190.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/1a/5-14-15/20150517_225800.wav,76.5464878078755,2015,1a,7.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/3a/3-5-15/20150308_231100.wav,76.23476251105676,2015,3a,48.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/1a/2-16-15/20150218_205700.wav,76.14256794161335,2015,1a,212.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/2a/3-5-15/20150306_231000.wav,76.11703808723807,2015,2a,201.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/1a/2-23-15/20150226_220400.wav,75.50730250468992,2015,1a,12.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/1a/2-23-15/20150224_210200.wav,74.36318368009303,2015,1a,198.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/4a/4-30-15/20150430_204600.wav,74.35484619114595,2015,4a,294.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/4a/3-12-15/20150314_221500.wav,74.174725718873,2015,4a,107.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/1a/5-14-15/20150516_215700.wav,73.73199463744501,2015,1a,280.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/2a/2-2-15/20150204_204600.wav,72.8371889902523,2015,2a,3.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/2a/2-2-15/20150204_184600.wav,72.27453960668372,2015,2a,66.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/5a/2-2-15/20150203_234500.wav,71.57913468660061,2015,5a,235.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/1a/5-14-15/20150517_215800.wav,71.28521493887563,2015,1a,274.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/2a/3-5-15/20150308_231100.wav,70.68961409547721,2015,2a,152.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/1a/6-4-15/20150606_231000.wav,70.4989137833095,2015,1a,286.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/3a/3-5-15/20150307_191000.wav,70.43299703901894,2015,3a,279.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/5a/6-4-15/20150604_230900.wav,70.38795540976815,2015,5a,194.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/5a/3-5-15/20150308_211100.wav,70.37533128668815,2015,5a,242.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/1a/2-23-15/20150223_220100.wav,70.14326893674811,2015,1a,175.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/1a/2-16-15/20150216_225600.wav,69.9837172625273,2015,1a,239.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/4a/3-5-15/20150306_231000.wav,69.73001511621732,2015,4a,273.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/1a/2-23-15/20150225_000200.wav,69.59633520027516,2015,1a,215.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/3a/3-5-15/20150305_230900.wav,69.29280574574916,2015,3a,98.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/1a/5-14-15/20150516_235700.wav,69.29198391998824,2015,1a,73.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/2a/5-14-15/20150516_235700.wav,68.5485919331324,2015,2a,254.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/5a/2-2-15/20150203_224500.wav,67.95069546977653,2015,5a,92.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/2a/4-2-15/20150403_202800.wav,67.71399139105851,2015,2a,157.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/4a/2-16-15/20150218_205700.wav,67.13874916403127,2015,4a,5.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/2a/6-25-15/20150627_221600.wav,66.91332135043218,2015,2a,84.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/1a/2-23-15/20150226_190400.wav,66.75252830894372,2015,1a,142.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/3a/4-9-15/20150412_223400.wav,66.68625019280029,2015,3a,151.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/5a/2-2-15/20150203_004400.wav,66.47897362836267,2015,5a,69.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/1a/3-5-15/20150304_200800.wav,66.32948117574553,2015,1a,212.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/4a/5-8-15/20150511_225400.wav,65.97954458021896,2015,4a,54.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/5a/2-2-15/20150204_214600.wav,65.90277462911679,2015,5a,5.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/5a/6-4-15/20150607_221000.wav,65.5182141454125,2015,5a,272.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/4a/4-30-15/20150504_224900.wav,65.51330834898799,2015,4a,16.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/1a/2-16-15/20150218_235700.wav,65.49125757482169,2015,1a,0.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/1a/5-14-15/20150516_205700.wav,65.1022084310852,2015,1a,168.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/4a/2-16-15/20150218_195700.wav,65.08208103801175,2015,4a,119.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/5a/5-8-15/20150509_005200.wav,64.76634364356755,2015,5a,171.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/3a/3-12-15/20150313_201400.wav,63.96582373767635,2015,3a,215.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/1a/2-16-15/20150216_235600.wav,63.904258914730306,2015,1a,248.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/2a/3-19-15/20150319_201900.wav,63.89940370743996,2015,2a,223.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/4a/3-12-15/20150314_001400.wav,63.527052214341715,2015,4a,231.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/1a/2-16-15/20150218_215700.wav,63.28617071258709,2015,1a,235.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/1a/2-16-15/20150218_225700.wav,63.249766114049855,2015,1a,148.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/1a/3-12-15/20150314_211500.wav,63.168200717422934,2015,1a,242.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/4a/5-8-15/20150508_235200.wav,62.8979966426083,2015,4a,29.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/4a/5-8-15/20150509_005200.wav,62.741154121450634,2015,4a,97.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/5a/3-12-15/20150312_231400.wav,62.55668973872399,2015,5a,188.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/1a/3-12-15/20150316_221600.wav,62.54550550835706,2015,1a,243.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/5a/3-5-15/20150308_201100.wav,62.52565025283708,2015,5a,257.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/2a/2-2-15/20150205_204700.wav,62.43425425412369,2015,2a,143.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/4a/5-8-15/20150509_235200.wav,62.18147619570279,2015,4a,197.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/4a/5-8-15/20150510_225300.wav,61.926539490225224,2015,4a,101.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/1a/2-16-15/20150219_005700.wav,61.88953049665814,2015,1a,125.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/1a/3-5-15/20150306_000900.wav,61.81635238161397,2015,1a,261.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/1a/5-8-15/20150509_005200.wav,61.78818250162669,2015,1a,50.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/4a/3-5-15/20150305_200900.wav,61.591682112704675,2015,4a,290.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/1a/4-16-15/20150417_203700.wav,61.50701878925154,2015,1a,248.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/4a/3-12-15/20150313_221400.wav,61.31882763342908,2015,4a,109.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/2a/3-5-15/20150309_001100.wav,61.296234843800626,2015,2a,165.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/4a/3-12-15/20150313_231400.wav,61.26733003340567,2015,4a,114.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/5a/2-16-15/20150218_195700.wav,61.23847331899629,2015,5a,52.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/4a/2-16-15/20150217_005600.wav,61.23475767939742,2015,4a,107.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/4a/2-16-15/20150216_235600.wav,61.09625074080475,2015,4a,246.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/5a/3-12-15/20150315_191600.wav,60.97401421910222,2015,5a,143.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/5a/4-2-15/20150406_003000.wav,60.827713787914625,2015,5a,177.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/4a/2-2-15/20150205_194700.wav,60.77323853031604,2015,4a,293.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/3a/6-11-15/20150611_231200.wav,60.33060577282124,2015,3a,293.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/4a/3-12-15/20150313_201400.wav,60.224025181877145,2015,4a,251.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/1a/2-2-15/20150205_214700.wav,60.19337044732186,2015,1a,90.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/3a/2-23-15/20150227_000400.wav,60.1838109062724,2015,3a,243.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/2a/5-14-15/20150518_205800.wav,60.09139897780346,2015,2a,68.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/1a/3-12-15/20150316_211600.wav,60.05446096978258,2015,1a,3.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/4a/4-9-15/20150411_223400.wav,59.79058572135373,2015,4a,287.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/2a/4-2-15/20150405_233000.wav,59.644662470859,2015,2a,50.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/3a/6-25-15/20150629_211600.wav,59.546968376573616,2015,3a,193.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/4a/5-8-15/20150511_215400.wav,59.399060586972595,2015,4a,95.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/1a/4-2-15/20150403_192800.wav,59.375268432847754,2015,1a,92.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/1a/2-16-15/20150218_195700.wav,59.130569908261684,2015,1a,24.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/3a/5-8-15/20150509_005200.wav,59.11903424494601,2015,3a,112.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/1a/4-16-15/20150416_223700.wav,59.03855403142715,2015,1a,101.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/4a/3-12-15/20150313_211400.wav,59.033250058365766,2015,4a,2.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/1a/4-2-15/20150405_193000.wav,58.86910483909738,2015,1a,256.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/2a/3-5-15/20150307_221000.wav,58.762326946185105,2015,2a,66.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/1a/4-16-15/20150420_203900.wav,58.73453377556149,2015,1a,263.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/1a/4-2-15/20150403_212800.wav,58.70847098323813,2015,1a,85.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/1a/2-16-15/20150216_195600.wav,58.64882505328302,2015,1a,196.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/5a/4-2-15/20150404_202900.wav,58.63953382012182,2015,5a,103.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/1a/7-2-15/20150704_221600.wav,58.61137980792274,2015,1a,181.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/1a/2-23-15/20150226_210400.wav,58.55946716781869,2015,1a,24.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/4a/2-16-15/20150216_195600.wav,58.497509335621146,2015,4a,52.0
