,score,year,logger,time_stamp
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/7a/2-2-15/20150205_184700.wav,60.16806573438812,2015,7a,33.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/10a/2-23-15/20150224_190200.wav,60.152397363106786,2015,10a,127.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/6a/6-11-15/20150613_221300.wav,60.14224467968712,2015,6a,38.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/10a/4-30-15/20150502_204800.wav,60.067990406563354,2015,10a,59.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/6a/2-2-15/20150202_184400.wav,60.04066353410207,2015,6a,26.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/6a/2-23-15/20150226_230400.wav,60.0151551959646,2015,6a,44.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/10a/2-23-15/20150227_000400.wav,59.64936800030306,2015,10a,24.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/8a/5-14-15/20150515_005600.wav,59.51276087994389,2015,8a,27.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/6a/2-23-15/20150225_200300.wav,59.45816750726408,2015,6a,259.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/8a/4-30-15/20150504_204900.wav,59.44281173276105,2015,8a,176.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/6a/3-5-15/20150305_210900.wav,59.406774478716706,2015,6a,9.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/9a/6-25-15/20150626_211600.wav,59.17216001901427,2015,9a,103.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/10a/3-12-15/20150314_211500.wav,59.04271803497122,2015,10a,128.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/9a/3-19-15/20150319_191900.wav,59.0352598258812,2015,9a,122.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/6a/3-12-15/20150314_001400.wav,58.748455790959554,2015,6a,71.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/9a/3-19-15/20150320_201900.wav,58.728950081721734,2015,9a,115.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/8a/3-12-15/20150313_191400.wav,58.69076536019939,2015,8a,289.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/10a/6-25-15/20150627_221600.wav,58.44164224968969,2015,10a,20.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/10a/3-12-15/20150312_231400.wav,58.4260629141363,2015,10a,296.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/10a/3-12-15/20150315_201600.wav,58.07362559616796,2015,10a,86.0
